開催年数,開催月,問番号,科目,問,(1),(2),(3),(4),(5),正答番号,解説
令和7年,後期,1,関係法令,事業場の衛生管理体制に関する記述のうち、法令上、誤っているものはどれか。（衛生管理者及び産業医の選任の特例はないものとする）,常時300人以上の労働者を使用する各種商品小売業の事業場では、総括安全衛生管理者を選任しなければならない。,"常時1,000人を超え2,000人以下の労働者を使用する事業場では、4人以上の衛生管理者を選任しなければならない。",常時900人の労働者を使用し、そのうち深夜業を含む業務に常時100人を従事させる事業場では、衛生管理者のうち少なくとも1人を専任の衛生管理者としなければならない。,常時50人以上の労働者を使用するゴルフ場業の事業場では、第二種衛生管理者免許を有する者のうちから衛生管理者を選任することができる。,"常時1,000人以上の労働者を使用する事業場では、その事業場に専属の産業医を選任しなければならない。",3,"正答は3。衛生管理者のうち少なくとも1人を専任とする必要があるのは、常時1,000人を超える労働者を使用する事業場、又は常時500人を超える労働者を使用し、法定の有害業務に常時30人以上従事させる事業場などである。本肢は常時900人であり、深夜業はこの専任要件の有害業務には含まれないため、専任の衛生管理者が必要とする記述は誤り。"
令和7年,後期,2,関係法令,産業医に関する記述のうち、法令上、誤っているものはどれか。（産業医の選任の特例はないものとする）,産業医の選任は、選任すべき事由が発生した日から14日以内に行わなければならない。,"常時使用する労働者数が2,000人を超える事業場では、産業医を2人以上選任しなければならない。",産業医が毎月1回以上所定の情報提供を受けかつ事業者の同意を得ているときは、作業場等の巡視の頻度を2か月に1回以上にすることができる。,事業者は産業医から勧告を受けたときは、その内容及び措置の内容を記録し3年間保存しなければならない。,事業者は産業医が辞任・解任したときは遅滞なくその旨及び理由を衛生委員会又は安全衛生委員会に報告しなければならない。,2,"正答は2。産業医を2人以上選任しなければならないのは、原則として常時3,000人を超える労働者を使用する事業場である。常時2,000人を超えるだけで2人以上が必要となるわけではないため、この記述は誤り。"
令和7年,後期,3,関係法令,労働衛生コンサルタントに関する記述のうち、法令上、誤っているものはどれか。,労働衛生コンサルタント試験には、保健衛生及び労働衛生工学の2つの区分がある。,試験合格者は厚生労働大臣の指定する指定登録機関の名簿に登録を受けることで労働衛生コンサルタントになることができる。,労働衛生コンサルタントは他人の求めに応じ報酬を得て事業場の衛生についての診断及び指導を業とする。,労働衛生コンサルタントが業務上知り得た秘密を漏らし又は盗用したときはその登録を取り消されることがある。,労働衛生コンサルタントの診断及び指導を受けた事業者はその記録を作成してこれを3年間保存しなければならない。,5,正答は5。労働衛生コンサルタントは、求めに応じて事業場の衛生について診断及び指導を行う専門家であるが、その診断・指導を受けた事業者に記録を作成して3年間保存する義務があるという規定はない。したがって5が誤り。
令和7年,後期,4,関係法令,定期健康診断項目のうち、医師が必要でないと認めるときは省略することができる項目に該当しないものはどれか。,業務歴の調査,腹囲の検査,胸部エックス線検査,貧血検査,心電図検査,1,正答は1。定期健康診断の項目のうち、業務歴の調査は医師の判断で省略できる項目ではない。腹囲、胸部エックス線、貧血検査、心電図検査などは、年齢や医師の判断等により省略できる場合がある。
令和7年,後期,5,関係法令,医師による面接指導に関する記述のうち、誤っているものはどれか。（研究開発業務従事者・高度プロフェッショナル制度対象者・医師はいないものとする）,休憩時間を除き1週間当たり40時間を超えた時間が1か月当たり100時間を超えた労働者に対し、本人の申出の有無にかかわらず面接指導を行わなければならない。,事業者はタイムカードによる記録等の客観的な方法により労働者の労働時間の状況を把握しなければならない。,対象労働者は指定された医師による面接指導を希望しない場合、他の医師の面接指導を受けその結果を証明する書面を事業者に提出できる。,事業者は面接指導後遅滞なく労働者の健康保持に必要な措置について医師の意見を聴かなければならない。,事業者は面接指導の結果の記録を作成してこれを5年間保存しなければならない。,1,正答は1。一般の長時間労働者に対する面接指導は、一定の時間外・休日労働があり、疲労の蓄積が認められ、本人から申出があった場合に実施するのが基本である。本人の申出の有無にかかわらず必ず行うとする記述は誤り。
令和7年,後期,6,関係法令,衛生委員会に関する記述のうち、法令上、正しいものはどれか。,衛生委員会の議長を除く委員の半数は、過半数代表労働組合がないときは労働者の過半数を代表する者が指名しなければならない。,産業医のうち衛生委員会の委員として指名できるのは、当該事業場に専属の産業医に限られる。,当該事業場の労働者で作業環境測定を実施している作業環境測定士であるものを衛生委員会の委員として指名することはできない。,衛生委員会の付議事項には、労働基準監督官から文書により指導を受けた事項のうち労働者の健康障害の防止に関することが含まれる。,衛生委員会は毎月1回以上開催し、全ての議事の概要を記録してこれを2年間保存しなければならない。,4,正答は4。衛生委員会の付議事項には、労働者の健康障害防止に関する重要事項が含まれ、労働基準監督官から文書で指導を受けた事項も該当する。委員の指名方法や議事記録の保存年限などを混同しないことがポイント。
令和7年,後期,7,関係法令,事業場の建築物・施設等に関する措置について、労働安全衛生規則の衛生基準に違反しているものはどれか。,有害業務を行っていない事業場で開口部が床面積の20分の1以上ある屋内作業場に換気設備を設けていない。,常時40人就業の屋内作業場の気積が設備占有容積・床面から3m超の空間を除き400m3となっている。,常時30人就業の事業場で女性用には臥床できる休養室を設けているが男性用には臥床できない休憩設備を利用させている。,精密な作業の照度を350ルクス、粗な作業を150ルクスとしている。,事業場に附属する炊事場の入口に洗浄剤を含浸させたマットを設置して土足のまま立ち入れるようにしている。,5,正答は5。炊事場は清潔を保持する必要があり、土足のまま立ち入れるようにする扱いは衛生基準に反する。換気、気積、休養設備、照度などの他の肢は、示された条件では基準違反とはならない。
令和7年,後期,8,関係法令,事務室の空気環境の測定・設備の点検等に関する記述のうち、法令上、誤っているものはどれか。,中央管理方式の空気調和設備を設けた建築物の室については所定の頻度で一酸化炭素・二酸化炭素の含有率・室温・外気温・相対湿度を測定しなければならない。,空気調和設備の冷却塔・冷却水の水管・加湿装置の清掃をそれぞれ1年以内ごとに1回定期に行わなければならない。,機械による換気のための設備については6か月以内ごとに1回定期に異常の有無を点検しなければならない。,室の照明設備については6か月以内ごとに1回定期に点検しなければならない。,燃焼器具を使用するときは発熱量が著しく少ないものを除き毎日異常の有無を点検しなければならない。,3,正答は3。機械による換気設備は、6か月以内ごとではなく、より短い周期で定期に異常の有無を点検する必要がある。照明設備や空気調和設備の清掃・点検周期と混同しやすい部分である。
令和7年,後期,9,関係法令,週所定労働時間が20時間、週所定労働日数が3日である労働者であって、雇入れの日から起算して2年6か月継続勤務したものに対して、その後1年間に新たに与えなければならない年次有給休暇日数として、法令上、正しいものは次のうちどれか。ただし、その労働者はその直前の1年間に全労働日の8割以上出勤したものとする。,5日,6日,7日,8日,9日,2,正答は2。週所定労働時間20時間、週所定労働日数3日の比例付与対象者が2年6か月継続勤務し、出勤率要件を満たす場合、新たに付与される年次有給休暇は6日である。
令和7年,後期,10,関係法令,労使協定による時間外・休日労働に関する文中のAからDの数値の組合せとして正しいものはどれか。（1か月の限度時間がA時間、1年がB時間。臨時的に限度時間を超える場合は1か月の時間外＋休日労働の合計がC時間未満、1年の時間外がD時間以内）,A:45 B:270 C:80 D:360,A:45 B:360 C:80 D:720,A:45 B:360 C:100 D:720,A:80 B:720 C:100 D:960,A:80 B:720 C:120 D:960,3,正答は3。時間外労働の限度時間は、原則として1か月45時間、1年360時間である。臨時的な特別の事情がある場合でも、時間外・休日労働の合計は1か月100時間未満、時間外労働は1年720時間以内とされる。
