カテゴリ,用語,解説
関係法令,衛生管理者,事業所で「労働衛生の面を専門的に管理する人」として、事業者が法令にのっとって選任する役職です。安全衛生の計画・実施・点検や、有害作業の管理、健康診断の実施支援など、現場の衛生面の中心になります。常勤かどうか・選任の人数・資格区分（第一種・第二種など）は、事業場の規模や業種によって決まるので、条文では「いつ必要になるか」「誰ができるか」をセットで押さえると混乱しにくいです。
関係法令,労働衛生基準,労働安全衛生法に基づいて定められた、作業環境や作業方法の「最低限守るべきルール」です。たとえば温度・照明・粉じん・騒音といった環境の基準、保護具の使用、危険な作業の禁止、健康診断の実施など、現場で起きやすい論点が具体的に書かれています。試験では「法令の大枠」と「規則・基準の細かい義務」がセットで出題されやすいので、どの話題がどの命令に書かれているかを地図のように整理すると理解が進みます。
関係法令,特別有機溶剤等,有機溶剤（シンナー類など）の中でも、特に健康被害のリスクが高いとされ、より厳しい管理が求められる区分です。たとえば局所排気装置の設置、作業環境の測定と評価、作業主任者の選任など、義務のレベルが「区分」によって変わります。試験では「第1種・第2種・特別…」の名称と、それぞれ何が義務化されるかを一致させる問題が定番なので、一覧表にして覚えるのがおすすめです。
関係法令,労働安全衛生法,労働者の安全と健康を守るための「基本法」です。事業者には安全衛生管理体制の整備、危険・有害要因の除去、教育、健康診断など、幅広い義務が課されます。個別の数値基準や細かい手続きは多くが命令（規則・基準など）側にありますが、出題の入口はしばしば労働安全衛生法の条文から来るので、「目的」「事業者の総義務」「委員会・管理者・産業医など体制の枠組み」を文章として説明できるようにしておくと安心です。
関係法令,労働安全衛生規則,労働安全衛生法の下で定められる命令の一つで、健康診断の記録、作業環境測定、安全衛生教育の区分など、現場でそのまま手続きに落ちる内容が多いのが特徴です。条文が細かいぶん、肢の文章も細かくなりがちなので、「誰が・いつ・何を残すか」「測定・評価・再測定の流れ」など、手順としてイメージして読むと記憶に残りやすいです。
関係法令,産業医,常時50人以上の労働者を使用する事業場など、一定規模以上では選任が求められる医師で、健康診断結果の評価や健康指導、長時間労働者面接など、法令で位置づけられた活動があります。衛生管理者や委員会と連携しながら、事業場全体の健康リスクを下げる役割です。試験では「選任要件」「職務の範囲」「記録・報告」が問われやすいので、衛生管理者と混同しないよう、役割の違いを言葉で言い切れるようにするとよいです。
関係法令,総括安全衛生管理者,一定規模以上の事業場で選任が求められる役職で、安全と衛生の両面を「事業場全体としてまとめる」立場です。現場の細部まで一人で抱えるというより、管理体制の責任者として位置づけられ、衛生管理者や産業医などと分担しながら機能します。条文上の要件（対象事業場・資格・職務）を図にして整理すると、誰が何の責任を持つのかが頭に入りやすいです。
関係法令,衛生委員会／安全衛生委員会,労働者代表と事業者側が話し合い、安全衛生の改善につなげるための仕組みです。設置が必要になる事業場の条件や、構成員、議事内容のイメージが問われます。「常時必要か」「会議の頻度」「議事録」など、条文の言い回しに引っかかりやすいので、要件をチェックリスト化して確認するのがおすすめです。
関係法令,作業主任者,特定の危険有害作業（高所作業、火気作業、有機溶剤作業など）で、法令ごとに「現場を統括して安全に進める人」として選任される役です。規則が複数あるので、作業の種類ごとに「どの規則が」「どんな要件で」選任されるかを一覧にすると覚えやすく、肢で名称が並んだときも迷いにくくなります。
関係法令,定期健康診断／雇入時健康診断,労働者の健康状態を把握し、職場の健康障害を防ぐための健康診断で、実施時期・対象・記録の保存、異常があった場合の就業上の措置（就業禁止や配置転換など）が法令上の論点になります。試験では「いつまでに実施か」「記録をいつまで保管か」「事後措置の順序」など、手続きの型が問われやすいので、タイムラインで覚えると取りこぼしが減ります。
関係法令,作業環境測定,有害物質や騒音などの作業環境を、決められた方法で測定し、基準との比較や改善につなげるための制度です。測定の区分（A測定・B測定・C測定など）や、結果の保存・掲示、測定機関の要件などがセットで出ます。「測定→評価→改善→再測定」の流れを頭の中で一連の物語にすると、条文の細部も位置づけしやすくなります。
関係法令,安全衛生教育,労働者に対して、職種や作業内容に応じた安全衛生の知識・技能を身につけさせるための教育です。対象者（職長、新規雇入れ、特別教育が必要な作業など）ごとに、科目や時間、記録の残し方が規定されています。現場では「やったつもり」になりやすい領域なので、試験でも実施漏れや記録不備が肢になりやすく、チェックリストで確認するのが近道です。
関係法令,有機溶剤中毒予防規則,有機溶剤を使う作業で、中毒などの健康障害を防ぐための規則です。溶剤の区分（特別有機溶剤等・第1種・第2種など）によって、局所排気装置、作業環境評価、作業主任者の選任などの義務が変わります。条文は厚いですが、入口は「区分の名称」と「その区分で何が義務か」の対応表なので、表に落とすと得点源になりやすいです。
関係法令,特定化学物質障害予防規則,がんや重篤な疾患のおそれがあるなど、リスクの高い化学物質を対象に、作業環境の管理や健康診断、記録の保存などを定めた規則です。物質ごとに管理区分が異なり、局所排気・作業環境評価・作業主任者などの要件が組み合わさります。有機溶剤規則と似た「区分で義務が変わる」構造ですが、対象が特定化学物質である点が違いなので、混同しないよう規則名で整理するとよいです。
関係法令,鉛中毒予防規則,鉛や鉛化合物を取り扱う作業で、鉛中毒を防ぐための規則です。空気中の鉛濃度の管理、局所排気、保護具、健康診断、汚染防止など、ばく露経路ごとに対策が並びます。試験では「どの作業が対象か」「測定・記録・健康診断の型」が問われやすいので、有機溶剤規則と同じく、義務のパターンを型として覚えると応用しやすいです。
関係法令,石綿障害予防規則,石綿（アスベスト）に起因するがんや肺疾患を防ぐための規則で、ばく露を極力ゼロに近づける発想が強い分野です。除去・封じ込め作業など高リスク作業では、事前調査・作業主任者・保護具・廃棄の扱いなど、手順が細かく定められています。他の化学物質規則と並べて「石綿は特に慎重」という印象で整理すると、条文の方向性を取り違えにくくなります。
関係法令,じん肺法,粉じん作業でじん肺を予防し、じん肺労働者を保護するための法律です。健康診断、管理区分、じん肺健康診断個人票の保存、事業者と行政の役割などが柱になります。労働衛生の作業環境管理とセットで語られることが多いので、「環境側の低減」と「健康側のフォロー」を両輪として捉えると理解がつながります。
関係法令,酸素欠乏症等防止規則,タンク内や地下工事など、酸素欠乏や硫化水素中毒の危険がある場所での作業を対象に、測定・換気・立入禁止・保護具・救助用機材などを定めた規則です。事故が起きやすい現場ほど手順が厳しく、試験でも「測定のタイミング」「立入の条件」「監視人」など、安全のための順序が問われます。フローチャートで覚えると抜け漏れが減ります。
関係法令,電離放射線障害防止規則,放射線業務で、被ばくを管理し健康障害を防ぐための規則です。管理区域の設定、線量の限度、教育、記録などが中心語になります。医療や工業利用など幅は広いですが、試験では「管理区域とは何か」「線量限度の考え方」など、用語の定義寄りから入ることが多いので、まず言葉の意味を文章で説明できるようにするのが近道です。
関係法令,振動障害防止指針／規程系,振動工具や運搬車両などによる手先振動・全身振動の健康障害を防ぐため、法令・通知・指針などで示される対策の束です。試験範囲に指針まで含まれるかは年度で変わり得るので、まずは「ばく露を減らす（振動の発生源・伝達・時間）」という基本方針を押さえ、必要な年だけ数値や測定の深掘りをすると効率がよいです。
労働衛生,WBGT,暑い環境で、人がどれだけ熱にさらされているかを表す指標です。気温だけでなく湿度や輻射熱（太陽や熱い機械からの熱）も考慮するので、体感に近い「総合的な暑さ」になります。現場では作業・休憩の配分や、熱中症対策の判断材料として使われます。試験では「何を組み合わせて作る指標か」「何の管理に使うか」が典型問題です。
労働衛生,局所排気装置,有害なガスや粉じんが出る場所のすぐ近くで、汚染空気を吸い込み、ダクトで屋外などへ逃がす装置です。全体の空気をきれいにするのではなく、発生源（こぼれる・蒸発する場所）に近づけて捕集するのがポイントです。制気口・ダクト・空気清浄装置・排風機などで構成され、外付け型・囲い型・フード型など形式もあります。試験では「なぜ局所が基本か（希釈より優先される理由）」が語れると強いです。
労働衛生,気集,空気中に浮いている粒子（粉じんなど）を、決められた条件で吸引して試料として取り込む作業のことです。作業環境測定では、流量（1分あたりに吸い込む空気の量）や粒径、捕集材（フィルターなど）を間違えると結果が大きく変わるので、手順の型が重要です。初学者向けには「吸引採取のイメージ」と「流量校正が先」と覚えると理解が早いです。
